data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,notif_accum_year
2022-10-02,202240,163,115,633,111,0.67398,63.1176,0,1,410830420224019260,2022-10-14,0,1,258248,17,88.655,0,0,1,75.6075,60.78805,20.225,23.5,104227
2022-09-25,202239,161,148,236,146,0.630051,62.3432,0,1,410830420223919300,2022-10-14,0,1,258248,16,100,0,0,1,93.0472666666667,82.4799666666667,16.8205,18.3333333333333,104227
2022-09-18,202238,156,150,185,149,0.347266,60.4071,0,1,410830420223819260,2022-10-14,0,1,258248,15,100,0,0,1,92.786125,79.355775,16.6701,19.75,104227
2022-09-11,202237,145,141,157,141,0.0448919,56.1476,0,1,410830420223719300,2022-10-14,0,1,258248,13.5,95.2931,0,0,1,86.489425,78.841975,16.138875,19.25,104227
2022-09-04,202236,169,166,179,166,0.140864,65.441,0,1,410830420223619260,2022-10-14,0,1,258248,13,NA,0,0,1,NA,NA,NA,NA,104227
2022-08-28,202235,167,165,175,166,0.0538119,64.6665,0,1,410830420223519300,2022-10-14,0,1,258248,12.5,89.8073833333333,0,0,1,71.2808666666667,54.9737,17.25265,22,104227
2022-08-21,202234,199,197,206,197,0.40849,77.0577,0,2,410830420223419260,2022-10-14,1,1,258248,14.1428571428571,85.7583,0,0,1,69.1254428571429,46.7628857142857,19.3788285714286,26.2857142857143,104227
2022-08-14,202233,202,201,209,201,0.165121,78.2194,0,2,410830420223319300,2022-10-14,1,1,258248,12.1428571428571,89.4049,0,0,1,69.4080714285714,43.8587,17.0436042857143,22.7142857142857,104227
2022-08-07,202232,196,195,201,196,0.00104507,75.896,0,2,410830420223219260,2022-10-14,3,1,258248,12,97.3359714285714,0,0,1,81.9167857142857,60.1692142857143,15.8095142857143,21.2857142857143,104227
2022-07-31,202231,210,210,215,210,1.96124e-6,81.3172,0,2,410830420223119300,2022-10-14,3,1,258248,14.2857142857143,90.1367571428571,0,0,1,75.8916285714286,58.9208714285714,17.6561571428571,22.4285714285714,104227
2022-07-24,202230,250,250,250,251,5.39687e-8,96.8062,0,4,410830420223019260,2022-10-14,4,1,258248,15.2857142857143,85.8928428571429,0,0,1,71.1638428571429,45.5004857142857,19.5810271428571,26,104227
2022-07-17,202229,331,331,331,331,2.35251e-6,128.171,0,4,410830420222919300,2022-10-14,8,1,258248,14.4285714285714,93.2324714285714,0,0,2,80.5231714285714,60.7407571428571,17.698388571428598,22.1428571428571,104227
2022-07-10,202228,334,334,334,334,1.43147e-9,129.333,0,4,410830420222819260,2022-10-14,8,1,258248,15,87.6664428571429,0,0,2,71.8453857142857,53.7728142857143,19.4194571428571,24.7142857142857,104227
2022-07-03,202227,526,526,526,526,0.459461,203.68,0,4,410830420222719300,2022-10-14,10,1,258248,16.5714285714286,83.4811285714286,0,0,2,63.3710714285714,41.6477714285714,21.9431714285714,27.8571428571429,104227
2022-06-26,202226,490,490,490,490,0.0174308,189.74,0,4,410830420222619260,2022-10-14,3,1,258248,12.8571428571429,97.2786428571429,0,0,2,81.9895428571429,57.5714428571429,17.2093714285714,23.5714285714286,104227
2022-06-19,202225,553,553,553,553,0.011455,214.135,0,4,410830420222519300,2022-10-14,6,1,258248,15.7142857142857,96.6752571428571,0,0,2,85.9602285714286,68.2991428571429,18.6783,23.4285714285714,104227
2022-06-12,202224,518,518,518,518,1.72506e-12,200.582,0,4,410830420222419260,2022-10-14,5,1,258248,8,95.5342285714286,0,0,2,78.9070428571429,51.9919285714286,13.3690371428571,19.5714285714286,104227
